日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2020-07-10,'300529,健帆生物,74.09,75.3,71.45,72.01,72.17,1.92,2.6604,1.3536,10779064,798828825.17,59093947356.5,59001177859.8
2020-07-09,'300529,健帆生物,72.17,73.1,68.24,68.4,67.85,4.32,6.367,1.8825,14991494,1065548884.94,57562561489.0,57472196060.8
2020-07-08,'300529,健帆生物,67.85,71.44,67.26,69.38,68.17,-0.32,-0.4694,1.8117,14427426,991013598.08,54116943287.1,54031987012.9
2020-07-07,'300529,健帆生物,68.17,68.98,64.6,66.8,67.0,1.17,1.7463,1.8917,15064539,1014092849.19,54372174265.0,54286817312.8
2020-07-06,'300529,健帆生物,67.0,67.9,65.4,66.8,66.55,0.45,0.6762,1.2211,9723982,648150641.2,53438986002.0,53355094029.0
2020-07-03,'300529,健帆生物,66.55,66.97,64.64,65.77,65.8,0.75,1.1398,1.0545,8397565,552094054.5,53080067439.3,52996738919.8
2020-07-02,'300529,健帆生物,65.8,68.22,65.3,67.5,67.76,-1.96,-2.8926,1.5199,12103842,803508417.34,52481869834.8,52399480404.6
2020-07-01,'300529,健帆生物,67.76,70.48,66.18,70.19,69.5,-1.74,-2.5036,1.5464,12314581,842038553.56,54045159574.6,53960315991.1
2020-06-30,'300529,健帆生物,69.5,70.0,64.51,64.91,64.74,4.76,7.3525,1.727,13752917,925555249.06,55432978017.0,55345955746.5
2020-06-29,'300529,健帆生物,64.74,65.5,64.16,65.2,65.28,-0.54,-0.8272,1.0074,8022450,519299972.65,51636417220.4,51555355036.4
2020-06-24,'300529,健帆生物,65.28,67.4,63.93,65.7,65.67,-0.39,-0.5939,1.3742,10943244,715479385.88,52067119495.7,51985381167.4
2020-06-23,'300529,健帆生物,65.67,66.0,63.94,64.22,64.3,1.37,2.1306,1.0836,8628991,563513666.1,52378182250.0,52295955595.3
