日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值,成交笔数
2019-08-15,'000021,深科技,8.14,8.21,7.72,7.74,7.91,0.23,2.9077,1.9187,28229097,226735839.35,11976051214.8,11976051214.8,22555
2019-08-14,'000021,深科技,7.91,8.02,7.81,7.86,7.71,0.2,2.594,1.5686,23078612,183143663.01,11637661561.3,11637661561.3,19021
2019-08-13,'000021,深科技,7.71,7.73,7.56,7.58,7.66,0.05,0.6527,0.5847,8602800,65918405.98,11343409688.7,11343409688.7,9860
2019-08-12,'000021,深科技,7.66,7.67,7.4,7.41,7.39,0.27,3.6536,0.6257,9206138,69442362.44,11269846720.6,11269846720.6,6201
2019-08-09,'000021,深科技,7.39,7.63,7.37,7.6,7.55,-0.16,-2.1192,0.6037,8881477,66509724.37,10872606692.6,10872606692.6,6679
2019-08-08,'000021,深科技,7.55,7.61,7.5,7.58,7.55,0.0,0.0,0.5779,8501988,64191707.71,11108008190.6,11108008190.6,6952
2019-08-07,'000021,深科技,7.55,7.75,7.54,7.71,7.67,-0.12,-1.5645,0.628,9238801,70606488.12,11108008190.6,11108008190.6,7384
2019-08-06,'000021,深科技,7.67,7.8,7.38,7.8,7.93,-0.26,-3.2787,1.0782,15863578,121265393.81,11284559314.2,11284559314.2,12918
2019-08-05,'000021,深科技,7.93,8.12,7.84,7.86,7.9,0.03,0.3797,0.834,12270017,98113203.33,11667086748.6,11667086748.6,9692
2019-08-02,'000021,深科技,7.9,7.95,7.81,7.9,8.08,-0.18,-2.2277,0.8465,12454915,98123945.94,11622948967.7,11622948967.7,8526
2019-08-01,'000021,深科技,8.08,8.23,8.03,8.1,8.16,-0.08,-0.9804,0.7962,11713714,94947853.95,11887775653.0,11887775653.0,8788
2019-07-31,'000021,深科技,8.16,8.2,8.04,8.09,8.08,0.08,0.9901,1.2199,17947871,146247877.47,12005476402.1,12005476402.1,12538
2019-07-30,'000021,深科技,8.08,8.1,7.94,8.02,8.02,0.06,0.7481,0.8772,12905915,103875653.83,11887775653.0,11887775653.0,7814
2019-07-29,'000021,深科技,8.02,8.07,7.91,8.0,7.97,0.05,0.6274,0.591,8695535,69470914.02,11799500091.3,11799500091.3,6310
2019-07-26,'000021,深科技,7.97,8.08,7.92,8.01,8.07,-0.1,-1.2392,0.5892,8668500,69145549.08,11725937123.1,11725937123.1,6251
2019-07-25,'000021,深科技,8.07,8.13,7.88,7.94,7.94,0.13,1.6373,1.0476,15412472,123927911.02,11873063059.4,11873063059.4,10923
2019-07-24,'000021,深科技,7.94,8.03,7.85,7.9,7.81,0.13,1.6645,0.7632,11229070,89372577.49,11681799342.2,11681799342.2,10184
2019-07-23,'000021,深科技,7.81,7.83,7.7,7.74,7.74,0.07,0.9044,0.3834,5641200,43941449.0,11490535625.0,11490535625.0,6153
2019-07-22,'000021,深科技,7.74,8.02,7.66,7.95,7.97,-0.23,-2.8858,0.705,10372856,80713532.6,11387547469.6,11387547469.6,11207
2019-07-19,'000021,深科技,7.97,8.13,7.94,7.99,7.91,0.06,0.7585,0.7491,11021270,88437149.79,11725937123.1,11725937123.1,9306
2019-07-18,'000021,深科技,7.91,8.06,7.89,8.05,8.13,-0.22,-2.706,0.8891,13081240,104218998.83,11637661561.3,11637661561.3,11547
2019-07-17,'000021,深科技,8.13,8.22,7.84,7.84,7.94,0.19,2.3929,1.569,23084625,187174715.36,11961338621.2,11961338621.2,14228
2019-07-16,'000021,深科技,7.94,7.95,7.81,7.88,7.87,0.07,0.8895,0.5713,8405073,66317083.6,11681799342.2,11681799342.2,6481
2019-07-15,'000021,深科技,7.87,7.98,7.58,7.72,7.74,0.13,1.6796,0.6947,10220327,79960920.01,11578811186.8,11578811186.8,7979
2019-07-12,'000021,深科技,7.74,7.77,7.64,7.68,7.67,0.07,0.9126,0.4316,6349579,49011227.15,11387547469.6,11387547469.6,4079
2019-07-11,'000021,深科技,7.67,7.81,7.65,7.81,7.73,-0.06,-0.7762,0.4781,7034669,54408595.58,11284559314.2,11284559314.2,5182
2019-07-10,'000021,深科技,7.73,7.83,7.69,7.74,7.72,0.01,0.1295,0.5474,8053135,62562504.55,11372834876.0,11372834876.0,5964
2019-07-09,'000021,深科技,7.72,7.88,7.62,7.84,7.84,-0.12,-1.5306,0.8982,13214176,101938016.44,11358122282.4,11358122282.4,10611
2019-07-08,'000021,深科技,7.84,8.19,7.81,8.17,8.2,-0.36,-4.3902,1.1396,16766297,132971169.37,11534673405.9,11534673405.9,15016
2019-07-05,'000021,深科技,8.2,8.23,8.13,8.17,8.19,0.01,0.1221,0.5216,7674621,62779294.17,12064326776.6,12064326776.6,5864
2019-07-04,'000021,深科技,8.19,8.26,8.12,8.2,8.2,-0.01,-0.122,0.6677,9823737,80316964.27,12049614183.0,12049614183.0,7819
